review_description,rating,Year,Month,Day,review_descriptiont,content_token,sentiment,stemmed,text_string
semoga tidak di persulit,5,2020,2,20,semoga tidak di persulit,"['semoga', 'persulit']",1,"['moga', 'sulit']",moga sulit
top banget,5,2020,2,21,top banget,"['top', 'banget']",1,"['top', 'banget']",banget
"secara umum sudah baik. memberi kemudahan dalam berinvestasi, saran saya mungkin bisa dibuatkan fitur khusus pencairan dana express, jadi ketika penjualan rd berhasil dana hasil penjualan bisa diiterima investor di hari yang sama. tentunya bareksa bisa mengambil fee khusus untuk fitur ini.",5,2020,2,21,"secara umum sudah baik. memberi kemudahan dalam berinvestasi, saran saya mungkin bisa dibuatkan fitur khusus pencairan dana express, jadi ketika penjualan rd berhasil dana hasil penjualan bisa diiterima investor di hari yang sama. tentunya bareksa bisa mengambil fee khusus untuk fitur ini.","['kemudahan', 'berinvestasi', 'saran', 'dibuatkan', 'fitur', 'khusus', 'pencairan', 'dana', 'express', 'penjualan', 'rd', 'berhasil', 'dana', 'hasil', 'penjualan', 'diiterima', 'investor', 'mengambil', 'fee', 'khusus', 'fitur']",1,"['mudah', 'investasi', 'saran', 'buat', 'fitur', 'khusus', 'cair', 'dana', 'express', 'jual', 'rd', 'hasil', 'dana', 'hasil', 'jual', 'diiterima', 'investor', 'ambil', 'fee', 'khusus', 'fitur']",mudah investasi saran buat fitur khusus cair dana express jual hasil dana hasil jual diiterima investor ambil khusus fitur
gw edit lagi jadi bintang 5 karena akun aku dah bisa dipergunakan kata email-nya. lain kali jgn bikin kaget ya. aku dah tua. gak ngerti beginian,5,2020,2,21,gw edit lagi jadi bintang 5 karena akun aku dah bisa dipergunakan kata email-nya. lain kali jgn bikin kaget ya. aku dah tua. gak ngerti beginian,"['gw', 'edit', 'bintang', '5', 'akun', 'dah', 'email', 'nya', 'kali', 'jgn', 'bikin', 'kaget', 'ya', 'dah', 'tua', 'gak', 'ngerti']",1,"['gw', 'edit', 'bintang', '5', 'akun', 'dah', 'email', 'nya', 'kali', 'jgn', 'bikin', 'kaget', 'ya', 'dah', 'tua', 'gak', 'ngerti']",edit bintang akun email kali bikin kaget ngerti
mau tanya klo ud pnya ditokopedia gmn caranya pindah kesini,5,2020,2,22,mau tanya klo ud pnya ditokopedia gmn caranya pindah kesini,"['klo', 'ud', 'pnya', 'ditokopedia', 'gmn', 'pindah', 'kesini']",1,"['klo', 'ud', 'pnya', 'ditokopedia', 'gmn', 'pindah', 'kesini']",pnya ditokopedia pindah kesini
tolong di cek donk aplikasi nya,1,2020,2,22,tolong di cek donk aplikasi nya,"['tolong', 'cek', 'donk', 'aplikasi', 'nya']",-1,"['tolong', 'cek', 'donk', 'aplikasi', 'nya']",tolong donk aplikasi
"klo pencairan rdpu berapa lama maksimal, klo di tokped kan cepet ga smpe 1 hr",4,2020,2,22,"klo pencairan rdpu berapa lama maksimal, klo di tokped kan cepet ga smpe 1 hr","['klo', 'pencairan', 'rdpu', 'maksimal', 'klo', 'tokped', 'cepet', 'ga', 'smpe', '1', 'hr']",1,"['klo', 'cair', 'rdpu', 'maksimal', 'klo', 'tokped', 'cepet', 'ga', 'smpe', '1', 'hr']",cair rdpu maksimal tokped cepet smpe
kok gak bisa daftar pake rekening bri simpedes????,1,2020,2,22,kok gak bisa daftar pake rekening bri simpedes????,"['gak', 'daftar', 'pake', 'rekening', 'bri', 'simpedes']",-1,"['gak', 'daftar', 'pake', 'rekening', 'bri', 'simpedes']",daftar pake rekening simpedes
"kenapa akun saya tiba"" gak aktif min ?",3,2020,2,23,"kenapa akun saya tiba"" gak aktif min ?","['akun', 'gak', 'aktif', 'min']",0,"['akun', 'gak', 'aktif', 'min']",akun aktif
"dlu pasti pm nya ga punya nilai seni maknya jelek tampilannya

skrng ud lumayan oke",5,2020,2,23,"dlu pasti pm nya ga punya nilai seni maknya jelek tampilannya

skrng ud lumayan oke","['dlu', 'pm', 'nya', 'ga', 'nilai', 'seni', 'maknya', 'jelek', 'tampilannya', 'skrng', 'ud', 'lumayan', 'oke']",1,"['dlu', 'pm', 'nya', 'ga', 'nilai', 'seni', 'maknya', 'jelek', 'tampil', 'skrng', 'ud', 'lumayan', 'oke']",nilai seni maknya jelek tampil skrng lumayan
sampai saat ini oke.,5,2020,2,25,sampai saat ini oke.,['oke'],1,['oke'],
saya mau daftar tapi gk pnya npwp,1,2020,2,25,saya mau daftar tapi gk pnya npwp,"['daftar', 'gk', 'pnya', 'npwp']",-1,"['daftar', 'gk', 'pnya', 'npwp']",daftar pnya npwp
"aplikasinya bagus banget dan memudahkan saya untuk berinvestasi reksadana. request fitur dong,bisa tambahin satu status lagi nggak ketika penjualan reksadana? jadi sekarang tuh ""penjualan berhasil"" tapi uangnya masih belum nyampe.tambahin satu dong gitu setelah ""penjualan berhasil"" yaitu ketika uang dah sampe di rekening,biar kita tau gitu kalo uangnya dah ada direkening terimakasih",5,2020,2,25,"aplikasinya bagus banget dan memudahkan saya untuk berinvestasi reksadana. request fitur dong,bisa tambahin satu status lagi nggak ketika penjualan reksadana? jadi sekarang tuh ""penjualan berhasil"" tapi uangnya masih belum nyampe.tambahin satu dong gitu setelah ""penjualan berhasil"" yaitu ketika uang dah sampe di rekening,biar kita tau gitu kalo uangnya dah ada direkening terimakasih","['aplikasinya', 'bagus', 'banget', 'memudahkan', 'berinvestasi', 'reksadana', 'request', 'fitur', 'tambahin', 'status', 'nggak', 'penjualan', 'reksadana', 'tuh', 'penjualan', 'berhasil', 'uangnya', 'nyampe', 'tambahin', 'gitu', 'penjualan', 'berhasil', 'uang', 'dah', 'sampe', 'rekening', 'biar', 'tau', 'gitu', 'kalo', 'uangnya', 'dah', 'direkening', 'terimakasih']",1,"['aplikasi', 'bagus', 'banget', 'mudah', 'investasi', 'reksadana', 'request', 'fitur', 'tambahin', 'status', 'nggak', 'jual', 'reksadana', 'tuh', 'jual', 'hasil', 'uang', 'nyampe', 'tambahin', 'gitu', 'jual', 'hasil', 'uang', 'dah', 'sampe', 'rekening', 'biar', 'tau', 'gitu', 'kalo', 'uang', 'dah', 'rekening', 'terimakasih']",aplikasi bagus banget mudah investasi reksadana request fitur tambahin status nggak jual reksadana jual hasil uang nyampe tambahin gitu jual hasil uang sampe rekening biar gitu kalo uang rekening terimakasih
"coba top up pake ovo, tp di aplikasi ovo-nya gada notifikasi utk bayar & terbatas untuk top up via ovo :(( jadi mau gak mau transfer manual dan kena biaya transfer. semoga kedepannya lebih banyak alternatif bank ya biar ga kena biaya transfer mulu tiap top up. 

upload bukti bayar juga gabisa full upload fotonya karna harus di crop jd ukuran potrait huhu",1,2020,2,26,"coba top up pake ovo, tp di aplikasi ovo-nya gada notifikasi utk bayar & terbatas untuk top up via ovo :(( jadi mau gak mau transfer manual dan kena biaya transfer. semoga kedepannya lebih banyak alternatif bank ya biar ga kena biaya transfer mulu tiap top up. 

upload bukti bayar juga gabisa full upload fotonya karna harus di crop jd ukuran potrait huhu","['coba', 'top', 'up', 'pake', 'ovo', 'tp', 'aplikasi', 'ovo', 'nya', 'gada', 'notifikasi', 'utk', 'bayar', 'terbatas', 'top', 'up', 'via', 'ovo', 'gak', 'transfer', 'manual', 'kena', 'biaya', 'transfer', 'semoga', 'kedepannya', 'alternatif', 'bank', 'ya', 'biar', 'ga', 'kena', 'biaya', 'transfer', 'mulu', 'top', 'up', 'upload', 'bukti', 'bayar', 'gabisa', 'full', 'upload', 'fotonya', 'karna', 'crop', 'jd', 'ukuran', 'potrait', 'huhu']",-1,"['coba', 'top', 'up', 'pake', 'ovo', 'tp', 'aplikasi', 'ovo', 'nya', 'gada', 'notifikasi', 'utk', 'bayar', 'batas', 'top', 'up', 'via', 'ovo', 'gak', 'transfer', 'manual', 'kena', 'biaya', 'transfer', 'moga', 'depan', 'alternatif', 'bank', 'ya', 'biar', 'ga', 'kena', 'biaya', 'transfer', 'mulu', 'top', 'up', 'upload', 'bukti', 'bayar', 'gabisa', 'full', 'upload', 'foto', 'karna', 'crop', 'jd', 'ukur', 'potrait', 'huhu']",coba pake aplikasi gada notifikasi bayar batas transfer manual kena biaya transfer moga depan alternatif bank biar kena biaya transfer mulu upload bukti bayar gabisa full upload foto karna crop ukur potrait huhu
"pembayaran menggunakan ovo tidak bisa dilakukan, tampilan pembayaran tidak muncul. android 6.0 meizu note m5",3,2020,2,27,"pembayaran menggunakan ovo tidak bisa dilakukan, tampilan pembayaran tidak muncul. android 6.0 meizu note m5","['pembayaran', 'ovo', 'tampilan', 'pembayaran', 'muncul', 'android', '6', '0', 'meizu', 'note', 'm5']",0,"['bayar', 'ovo', 'tampil', 'bayar', 'muncul', 'android', '6', '0', 'meizu', 'note', 'm5']",bayar tampil bayar muncul android meizu note
mudah ringan dan simple... tp tolong kl bisa tambah lagi menu pembayarannya. gopay dana dll.,4,2020,2,27,mudah ringan dan simple... tp tolong kl bisa tambah lagi menu pembayarannya. gopay dana dll.,"['mudah', 'ringan', 'simple', 'tp', 'tolong', 'kl', 'menu', 'pembayarannya', 'gopay', 'dana', 'dll']",1,"['mudah', 'ringan', 'simple', 'tp', 'tolong', 'kl', 'menu', 'bayar', 'gopay', 'dana', 'dll']",mudah ringan simple tolong menu bayar gopay dana
sms token nya kok lama,2,2020,2,27,sms token nya kok lama,"['sms', 'token', 'nya']",-1,"['sms', 'token', 'nya']",token
"bareksa sekarang sudah lebih baik, dari segi interface juga lebih segar, saran untuk fact sheet agar bisa di cubit untuk zoom in atau zoom out supaya lebih bebas seperti di bukareksa",4,2020,2,27,"bareksa sekarang sudah lebih baik, dari segi interface juga lebih segar, saran untuk fact sheet agar bisa di cubit untuk zoom in atau zoom out supaya lebih bebas seperti di bukareksa","['segi', 'interface', 'segar', 'saran', 'fact', 'sheet', 'cubit', 'zoom', 'in', 'zoom', 'out', 'bebas', 'bukareksa']",1,"['segi', 'interface', 'segar', 'saran', 'fact', 'sheet', 'cubit', 'zoom', 'in', 'zoom', 'out', 'bebas', 'bukareksa']",segi interface segar saran fact sheet cubit zoom zoom bebas bukareksa
"coba untuk pembelian reksadana/penjualan utk proses nya jgn trlalu lama min, klo bisa di percepat di atas jam 13.00 jgn harus nunggu hari berikutnya",4,2020,2,27,"coba untuk pembelian reksadana/penjualan utk proses nya jgn trlalu lama min, klo bisa di percepat di atas jam 13.00 jgn harus nunggu hari berikutnya","['coba', 'pembelian', 'reksadana', 'penjualan', 'utk', 'proses', 'nya', 'jgn', 'trlalu', 'min', 'klo', 'percepat', 'jam', '13', '00', 'jgn', 'nunggu']",1,"['coba', 'beli', 'reksadana', 'jual', 'utk', 'proses', 'nya', 'jgn', 'trlalu', 'min', 'klo', 'cepat', 'jam', '13', '00', 'jgn', 'nunggu']",coba beli reksadana jual proses trlalu cepat nunggu
setelah update terakhir aplikasi ketika dibuka akan close otomatis dan ada white screen dengan waktu yang cukup lama.,3,2020,3,1,setelah update terakhir aplikasi ketika dibuka akan close otomatis dan ada white screen dengan waktu yang cukup lama.,"['update', 'aplikasi', 'dibuka', 'close', 'otomatis', 'white', 'screen']",0,"['update', 'aplikasi', 'buka', 'close', 'otomatis', 'white', 'screen']",update aplikasi buka close otomatis white screen
penkonk,5,2020,3,2,penkonk,['penkonk'],1,['penkonk'],penkonk
terima kasih,5,2020,3,2,terima kasih,"['terima', 'kasih']",1,"['terima', 'kasih']",terima kasih
"utk sistem aplikasi bareksa kurang bagus gak seperti di bibit...begitu bayar reksadana langsung nambah saldonya walaupun blm aktif reksadanya...dan utk respon adminnya di aplikasi bareksa kurang memuaskan...gak bisa langsung chat otomatis di aplikasinya...dan utk komunikasi sama adminnya susah kadang suka penuh...antrian dan tdk bisa terjawab, tolong donk di perbaiki lagi sistem aplikasinya terima kasih.",3,2020,3,3,"utk sistem aplikasi bareksa kurang bagus gak seperti di bibit...begitu bayar reksadana langsung nambah saldonya walaupun blm aktif reksadanya...dan utk respon adminnya di aplikasi bareksa kurang memuaskan...gak bisa langsung chat otomatis di aplikasinya...dan utk komunikasi sama adminnya susah kadang suka penuh...antrian dan tdk bisa terjawab, tolong donk di perbaiki lagi sistem aplikasinya terima kasih.","['utk', 'sistem', 'aplikasi', 'bagus', 'gak', 'bibit', 'bayar', 'reksadana', 'langsung', 'nambah', 'saldonya', 'blm', 'aktif', 'reksadanya', 'utk', 'respon', 'adminnya', 'aplikasi', 'memuaskan', 'gak', 'langsung', 'chat', 'otomatis', 'aplikasinya', 'utk', 'komunikasi', 'adminnya', 'susah', 'kadang', 'suka', 'penuh', 'antrian', 'tdk', 'terjawab', 'tolong', 'donk', 'perbaiki', 'sistem', 'aplikasinya', 'terima', 'kasih']",0,"['utk', 'sistem', 'aplikasi', 'bagus', 'gak', 'bibit', 'bayar', 'reksadana', 'langsung', 'nambah', 'saldo', 'blm', 'aktif', 'reksadanya', 'utk', 'respon', 'adminnya', 'aplikasi', 'muas', 'gak', 'langsung', 'chat', 'otomatis', 'aplikasi', 'utk', 'komunikasi', 'adminnya', 'susah', 'kadang', 'suka', 'penuh', 'antri', 'tdk', 'jawab', 'tolong', 'donk', 'baik', 'sistem', 'aplikasi', 'terima', 'kasih']",sistem aplikasi bagus bibit bayar reksadana langsung nambah saldo aktif reksadanya respon adminnya aplikasi muas langsung chat otomatis aplikasi komunikasi adminnya susah kadang suka penuh antri jawab tolong donk baik sistem aplikasi terima kasih
"kemarin saya mencoba melakukan penarikan untuk memastikan apakah ""data rekening bank sudah sesuai dengan data ktp"". sudah 11 hari ternyata dana tidak masuk rekening. saya coba tanya cs katanya ada retur tapi tidak jelas returnya dimana. kenapa tidak ada pemberitahuan kalo terjadi retur dan bagaimana solusinya. seolah kalo saya tidak menanyakan tidak akan mendapat informasi retur.",3,2020,3,3,"kemarin saya mencoba melakukan penarikan untuk memastikan apakah ""data rekening bank sudah sesuai dengan data ktp"". sudah 11 hari ternyata dana tidak masuk rekening. saya coba tanya cs katanya ada retur tapi tidak jelas returnya dimana. kenapa tidak ada pemberitahuan kalo terjadi retur dan bagaimana solusinya. seolah kalo saya tidak menanyakan tidak akan mendapat informasi retur.","['kemarin', 'mencoba', 'penarikan', 'data', 'rekening', 'bank', 'sesuai', 'data', 'ktp', '11', 'dana', 'masuk', 'rekening', 'coba', 'cs', 'retur', 'returnya', 'dimana', 'pemberitahuan', 'kalo', 'retur', 'solusinya', 'kalo', 'informasi', 'retur']",0,"['kemarin', 'coba', 'tari', 'data', 'rekening', 'bank', 'sesuai', 'data', 'ktp', '11', 'dana', 'masuk', 'rekening', 'coba', 'cs', 'retur', 'retur', 'mana', 'pemberitahuan', 'kalo', 'retur', 'solusi', 'kalo', 'informasi', 'retur']",kemarin coba tari data rekening bank sesuai data dana masuk rekening coba retur retur mana pemberitahuan kalo retur solusi kalo informasi retur
"apaan ini kok tiba"" kena user suspend",1,2020,3,4,"apaan ini kok tiba"" kena user suspend","['kena', 'user', 'suspend']",-1,"['kena', 'user', 'suspend']",kena user suspend
"akun saya log out sendiri sewaktu buka aplikasi dan ketika dicoba berulang kali untuk log in yang muncul keterangan user suspended. ini jelas bikin panik sih, siapa yang nggak panik uang puluhan juta disitu dan account saya di suspended tanpa keterangan jelas. pusat bantuan faq bahkan tidak ada yang menjelaskan mengenai permsalahan terkait hal seperti ini.",1,2020,3,4,"akun saya log out sendiri sewaktu buka aplikasi dan ketika dicoba berulang kali untuk log in yang muncul keterangan user suspended. ini jelas bikin panik sih, siapa yang nggak panik uang puluhan juta disitu dan account saya di suspended tanpa keterangan jelas. pusat bantuan faq bahkan tidak ada yang menjelaskan mengenai permsalahan terkait hal seperti ini.","['akun', 'log', 'out', 'buka', 'aplikasi', 'dicoba', 'berulang', 'kali', 'log', 'in', 'muncul', 'keterangan', 'user', 'suspended', 'bikin', 'panik', 'sih', 'nggak', 'panik', 'uang', 'puluhan', 'juta', 'disitu', 'account', 'suspended', 'keterangan', 'pusat', 'bantuan', 'faq', 'permsalahan', 'terkait']",-1,"['akun', 'log', 'out', 'buka', 'aplikasi', 'coba', 'ulang', 'kali', 'log', 'in', 'muncul', 'terang', 'user', 'suspended', 'bikin', 'panik', 'sih', 'nggak', 'panik', 'uang', 'puluh', 'juta', 'situ', 'account', 'suspended', 'terang', 'pusat', 'bantu', 'faq', 'permsalahan', 'kait']",akun buka aplikasi coba ulang kali muncul terang user suspended bikin panik nggak panik uang puluh juta situ account suspended terang pusat bantu permsalahan kait
sdh bisa kembali harus verifikasi lagi paswordnya,4,2020,3,4,sdh bisa kembali harus verifikasi lagi paswordnya,"['sdh', 'verifikasi', 'paswordnya']",1,"['sdh', 'verifikasi', 'paswordnya']",verifikasi paswordnya
bareksa mantap.. terima kasih,5,2020,3,5,bareksa mantap.. terima kasih,"['mantap', 'terima', 'kasih']",1,"['mantap', 'terima', 'kasih']",mantap terima kasih
"ada baiknya untuk menggunakan sistem fingerprint , untuk keamanannya , thx.",5,2020,3,5,"ada baiknya untuk menggunakan sistem fingerprint , untuk keamanannya , thx.","['baiknya', 'sistem', 'fingerprint', 'keamanannya', 'thx']",1,"['baik', 'sistem', 'fingerprint', 'aman', 'thx']",baik sistem fingerprint aman
"karena pendapatan kecil saya gak punya npwp, jadi gak bisa bikin akun. padahalmsaya ingin menabung reksadana ada solusi? tolong opsi pembayaran diperbanyak, tambahin via dana, link aja dll biar mudah transaksinya thxs",5,2020,3,6,"karena pendapatan kecil saya gak punya npwp, jadi gak bisa bikin akun. padahalmsaya ingin menabung reksadana ada solusi? tolong opsi pembayaran diperbanyak, tambahin via dana, link aja dll biar mudah transaksinya thxs","['pendapatan', 'gak', 'npwp', 'gak', 'bikin', 'akun', 'padahalmsaya', 'menabung', 'reksadana', 'solusi', 'tolong', 'opsi', 'pembayaran', 'diperbanyak', 'tambahin', 'via', 'dana', 'link', 'aja', 'dll', 'biar', 'mudah', 'transaksinya', 'thxs']",1,"['dapat', 'gak', 'npwp', 'gak', 'bikin', 'akun', 'padahalmsaya', 'tabung', 'reksadana', 'solusi', 'tolong', 'opsi', 'bayar', 'banyak', 'tambahin', 'via', 'dana', 'link', 'aja', 'dll', 'biar', 'mudah', 'transaksi', 'thxs']",dapat npwp bikin akun padahalmsaya tabung reksadana solusi tolong opsi bayar banyak tambahin dana link biar mudah transaksi thxs
"saya sudah nanam sampai 1 jutaan selama 1,5 thn ga berkembang, terus pas mau diambil ga bisa. penipuan berat, uang saya ga kembali",1,2020,3,7,"saya sudah nanam sampai 1 jutaan selama 1,5 thn ga berkembang, terus pas mau diambil ga bisa. penipuan berat, uang saya ga kembali","['nanam', '1', 'jutaan', '1', '5', 'thn', 'ga', 'berkembang', 'pas', 'diambil', 'ga', 'penipuan', 'berat', 'uang', 'ga']",-1,"['nanam', '1', 'juta', '1', '5', 'thn', 'ga', 'kembang', 'pas', 'ambil', 'ga', 'tipu', 'berat', 'uang', 'ga']",nanam juta kembang ambil tipu berat uang
apa hanya bisa melalui ovo untuk top up.. ?? apa yang lain tidak bisa semacam. linkaja.?,2,2020,3,7,apa hanya bisa melalui ovo untuk top up.. ?? apa yang lain tidak bisa semacam. linkaja.?,"['ovo', 'top', 'up', 'linkaja']",-1,"['ovo', 'top', 'up', 'linkaja']",linkaja
"kalau belum bisa supporrt pembayaran lewat ovo, jngn disaranin pakai ovo, apaan saya beli produk reksadana fix income dari 2 hari yg lalu, sampai sekarang saldo saya masih 0, mengecewakan proses transaksinya lama lebih dari 2 hari.",1,2020,3,8,"kalau belum bisa supporrt pembayaran lewat ovo, jngn disaranin pakai ovo, apaan saya beli produk reksadana fix income dari 2 hari yg lalu, sampai sekarang saldo saya masih 0, mengecewakan proses transaksinya lama lebih dari 2 hari.","['supporrt', 'pembayaran', 'ovo', 'jngn', 'disaranin', 'pakai', 'ovo', 'beli', 'produk', 'reksadana', 'fix', 'income', '2', 'yg', 'saldo', '0', 'mengecewakan', 'proses', 'transaksinya', '2']",-1,"['supporrt', 'bayar', 'ovo', 'jngn', 'disaranin', 'pakai', 'ovo', 'beli', 'produk', 'reksadana', 'fix', 'income', '2', 'yg', 'saldo', '0', 'kecewa', 'proses', 'transaksi', '2']",supporrt bayar jngn disaranin pakai beli produk reksadana income saldo kecewa proses transaksi
parah ni aplikasi bareksa. hari ke 1 dan ke 2 ada bunga ke 3 dan ke 4 ga ada . ga jelas nih investasi apaan. nyesel aku ikutan baru awal dah kayak gini,1,2020,3,9,parah ni aplikasi bareksa. hari ke 1 dan ke 2 ada bunga ke 3 dan ke 4 ga ada . ga jelas nih investasi apaan. nyesel aku ikutan baru awal dah kayak gini,"['parah', 'ni', 'aplikasi', '1', '2', 'bunga', '3', '4', 'ga', 'ga', 'nih', 'investasi', 'nyesel', 'ikutan', 'dah', 'kayak', 'gini']",-1,"['parah', 'ni', 'aplikasi', '1', '2', 'bunga', '3', '4', 'ga', 'ga', 'nih', 'investasi', 'nyesel', 'ikut', 'dah', 'kayak', 'gin']",parah aplikasi bunga investasi nyesel ikut kayak
aplikasi nipu uang saya invest 100rb blm kembali sampai sekarang padahal saya sudah jual semua unit nyaaaa,1,2020,3,9,aplikasi nipu uang saya invest 100rb blm kembali sampai sekarang padahal saya sudah jual semua unit nyaaaa,"['aplikasi', 'nipu', 'uang', 'invest', '100rb', 'blm', 'jual', 'unit', 'nyaaaa']",-1,"['aplikasi', 'nipu', 'uang', 'invest', '100rb', 'blm', 'jual', 'unit', 'nyaaaa']",aplikasi nipu uang invest 100rb jual unit nyaaaa
kenapa tidak bisa masuk apa sedang gangguan,3,2020,3,9,kenapa tidak bisa masuk apa sedang gangguan,"['masuk', 'gangguan']",0,"['masuk', 'ganggu']",masuk ganggu
trima kasih..,5,2020,3,10,trima kasih..,"['trima', 'kasih']",1,"['trima', 'kasih']",trima kasih
aplikasi yang wajib dimiliki oleh orang yang tertarik dalam dunia investasi. 5 stars for this app yang sudah membuat saya tertarik sekali dengan dunia investasi,5,2020,3,11,aplikasi yang wajib dimiliki oleh orang yang tertarik dalam dunia investasi. 5 stars for this app yang sudah membuat saya tertarik sekali dengan dunia investasi,"['aplikasi', 'wajib', 'dimiliki', 'orang', 'tertarik', 'dunia', 'investasi', '5', 'stars', 'for', 'this', 'app', 'tertarik', 'dunia', 'investasi']",1,"['aplikasi', 'wajib', 'milik', 'orang', 'tarik', 'dunia', 'investasi', '5', 'stars', 'for', 'this', 'app', 'tarik', 'dunia', 'investasi']",aplikasi wajib milik orang tarik dunia investasi stars this tarik dunia investasi
"hallo min, saya sudah coba daftar tapi saat pemeriksaan, no rek tidak ditemukan padahal norek nya sudah sesuai. gmna solusinya ya?",3,2020,3,11,"hallo min, saya sudah coba daftar tapi saat pemeriksaan, no rek tidak ditemukan padahal norek nya sudah sesuai. gmna solusinya ya?","['hallo', 'min', 'coba', 'daftar', 'pemeriksaan', 'no', 'rek', 'ditemukan', 'norek', 'nya', 'sesuai', 'gmna', 'solusinya', 'ya']",0,"['hallo', 'min', 'coba', 'daftar', 'periksa', 'no', 'rek', 'temu', 'norek', 'nya', 'sesuai', 'gmna', 'solusi', 'ya']",hallo coba daftar periksa temu norek sesuai gmna solusi
"alhamdulilah secara ke seluruhan baik, tapi boleh saran kan setiap nasabah harus memiliki buku polis nya, yang di berikan ketika daftar menjadi nasabah. jadi transaksi investasi bisa di lakukan offline. semoga kedepanya lebih baik dan sukses selalu . lop you",5,2020,3,12,"alhamdulilah secara ke seluruhan baik, tapi boleh saran kan setiap nasabah harus memiliki buku polis nya, yang di berikan ketika daftar menjadi nasabah. jadi transaksi investasi bisa di lakukan offline. semoga kedepanya lebih baik dan sukses selalu . lop you","['alhamdulilah', 'seluruhan', 'saran', 'nasabah', 'memiliki', 'buku', 'polis', 'nya', 'daftar', 'nasabah', 'transaksi', 'investasi', 'lakukan', 'offline', 'semoga', 'kedepanya', 'sukses', 'lop', 'you']",1,"['alhamdulilah', 'seluruh', 'saran', 'nasabah', 'milik', 'buku', 'polis', 'nya', 'daftar', 'nasabah', 'transaksi', 'investasi', 'laku', 'offline', 'moga', 'depa', 'sukses', 'lop', 'you']",alhamdulilah seluruh saran nasabah milik buku polis daftar nasabah transaksi investasi laku offline moga depa sukses
"maaf pak, saya sudah hampir sebulan lbh daftar kok blom bisa bukak akun juga ya pak.. mahon bantuan nya ya pak",3,2020,3,13,"maaf pak, saya sudah hampir sebulan lbh daftar kok blom bisa bukak akun juga ya pak.. mahon bantuan nya ya pak","['maaf', 'sebulan', 'lbh', 'daftar', 'blom', 'bukak', 'akun', 'ya', 'mahon', 'bantuan', 'nya', 'ya']",0,"['maaf', 'bulan', 'lbh', 'daftar', 'blom', 'bukak', 'akun', 'ya', 'mahon', 'bantu', 'nya', 'ya']",maaf bulan daftar blom bukak akun mahon bantu
mantap aplikasinya,5,2020,3,13,mantap aplikasinya,"['mantap', 'aplikasinya']",1,"['mantap', 'aplikasi']",mantap aplikasi
punya ku gk bisa ke buka lupa pasword y karena hp pecah rusak... udah coba lupa pasword tpi gk dapat email. dari bareksa padahal emil saya benar... biasa y tiap bln ada emil masuk pemberitahuan naik /turun y ko ini gk ada emil masuk,4,2020,3,13,punya ku gk bisa ke buka lupa pasword y karena hp pecah rusak... udah coba lupa pasword tpi gk dapat email. dari bareksa padahal emil saya benar... biasa y tiap bln ada emil masuk pemberitahuan naik /turun y ko ini gk ada emil masuk,"['ku', 'gk', 'buka', 'lupa', 'pasword', 'y', 'hp', 'pecah', 'rusak', 'udah', 'coba', 'lupa', 'pasword', 'tpi', 'gk', 'email', 'emil', 'y', 'bln', 'emil', 'masuk', 'pemberitahuan', 'turun', 'y', 'ko', 'gk', 'emil', 'masuk']",1,"['ku', 'gk', 'buka', 'lupa', 'pasword', 'y', 'hp', 'pecah', 'rusak', 'udah', 'coba', 'lupa', 'pasword', 'tpi', 'gk', 'email', 'emil', 'y', 'bln', 'emil', 'masuk', 'pemberitahuan', 'turun', 'y', 'ko', 'gk', 'emil', 'masuk']",buka lupa pasword pecah rusak udah coba lupa pasword email emil emil masuk pemberitahuan turun emil masuk
"tolong, kenapa saya tidak bisa meng-upload lampiran ktp, saat registrasi",5,2020,3,15,"tolong, kenapa saya tidak bisa meng-upload lampiran ktp, saat registrasi","['tolong', 'meng', 'upload', 'lampiran', 'ktp', 'registrasi']",1,"['tolong', 'meng', 'upload', 'lampir', 'ktp', 'registrasi']",tolong meng upload lampir registrasi
aplikasi catat g bisa d buka,1,2020,3,15,aplikasi catat g bisa d buka,"['aplikasi', 'catat', 'g', 'd', 'buka']",-1,"['aplikasi', 'catat', 'g', 'd', 'buka']",aplikasi catat buka
"mantap,,,,investasi buat jangka panjang 👍 saran aja nii buat pembayaran next nanti kalau update aplikasinya usahakan ada pembayaran melalui link aja karna agar bisa bebas top up biaya admin",5,2020,3,17,"mantap,,,,investasi buat jangka panjang 👍 saran aja nii buat pembayaran next nanti kalau update aplikasinya usahakan ada pembayaran melalui link aja karna agar bisa bebas top up biaya admin","['mantap', 'investasi', 'jangka', 'saran', 'aja', 'nii', 'pembayaran', 'next', 'update', 'aplikasinya', 'usahakan', 'pembayaran', 'link', 'aja', 'karna', 'bebas', 'top', 'up', 'biaya', 'admin']",1,"['mantap', 'investasi', 'jangka', 'saran', 'aja', 'nii', 'bayar', 'next', 'update', 'aplikasi', 'usaha', 'bayar', 'link', 'aja', 'karna', 'bebas', 'top', 'up', 'biaya', 'admin']",mantap investasi jangka saran bayar next update aplikasi usaha bayar link karna bebas biaya admin
tetap eksis di saat krisis,5,2020,3,17,tetap eksis di saat krisis,"['eksis', 'krisis']",1,"['eks', 'krisis']",krisis
